Company,UDIDs
"Dendro Technologies, Inc.",0x0DE7
DEXATEK Technology LTD,0x0DE6
"Ehong Technology Co.,Ltd",0x0DE5
EMBEINT INC,0x0DE4
"Shenzhen MODSEMI Co., Ltd",0x0DE3
"TAMADIC Co., Ltd.",0x0DE2
Outshiny India Private Limited,0x0DE1
KNOG PTY. LTD.,0x0DE0
"Shenzhen Lunci Technology Co., Ltd",0x0DDF
"SHENZHEN DNS INDUSTRIES CO., LTD.",0x0DDE
Tozoa LLC,0x0DDD
"AUTHOR-ALARM, razvoj in prodaja avtomobilskih sistemov proti kraji, d.o.o.",0x0DDC
"KAGA FEI Co., Ltd.",0x0DDB
Minebea Intec GmbH,0x0DDA
SCHELL GmbH & Co. KG,0x0DD9
"Xiant Technologies, Inc.",0x0DD7
"MODULAR MEDICAL, INC.",0x0DD6
BEEPINGS,0x0DD5
KOQOON GmbH & Co.KG,0x0DD4
Global Satellite Engineering,0x0DD3
Fresh n Rebel B.V.,0x0DD2
OrangeMicro Limited,0x0DD1
ESNAH,0x0DD0
KUBU SMART LIMITED,0x0DCF
NOVAFON - Electromedical devices limited liability company,0x0DCE
Astra LED AG,0x0DCD
Trotec GmbH,0x0DCC
"GEOPH, LLC",0x0DCB
Aptener Mechatronics Private Limited,0x0DCA
farmunited GmbH,0x0DC9
ETO GRUPPE TECHNOLOGIES GmbH,0x0DC8
MORNINGSTAR FX PTE. LTD.,0x0DC7
Levita,0x0DC6
DHL,0x0DC5
"Hangzhou NationalChip Science & Technology Co.,Ltd",0x0DC4
GEARBAC TECHNOLOGIES INC.,0x0DC3
Cirrus Research plc,0x0DC2
NACHI-FUJIKOSHI CORP.,0x0DC1
"Shenzhen Jahport Electronic Technology Co., Ltd.",0x0DC0
HWM-Water Limited,0x0DBF
HELLA GmbH & Co. KGaA,0x0DBE
MAATEL,0x0DBD
Felion Technologies Company Limited,0x0DBC
"Nexis Link Technology Co., Ltd.",0x0DBB
Veo Technologies ApS,0x0DBA
CompanyDeep Ltd,0x0DB9
"Shenzhen Chuangyuan Digital Technology Co., Ltd",0x0DB8
Morningstar Corporation,0x0DB7
"SAFEGUARD EQUIPMENT, INC.",0x0DB6
Djup AB,0x0DB5
Franklin Control Systems,0x0DB4
"SHENZHEN REFLYING ELECTRONIC CO., LTD",0x0DB3
Whirlpool,0x0DB2
TELE System Communications Pte. Ltd.,0x0DB1
"Invisalert Solutions, Inc.",0x0DB0
Hexagon Aura Reality AG,0x0DAF
"TITUM AUDIO, INC.",0x0DAE
ITALTRACTOR ITM S.P.A.,0x0DAC
Efento,0x0DAB
"Shenzhen EBELONG Technology Co., Ltd.",0x0DAA
Inventronics GmbH,0x0DA9
Airwallet ApS,0x0DA8
Novoferm tormatic GmbH,0x0DA7
Generac Corporation,0x0DA6
PIXELA CORPORATION,0x0DA5
HP Tuners,0x0DA4
Airgraft Inc.,0x0DA3
KIWI.KI GmbH,0x0DA2
Fen Systems Ltd.,0x0DA1
SICK AG,0x0DA0
"MML US, Inc",0x0D9F
Impulse Wellness LLC,0x0D9E
"Cear, Inc.",0x0D9D
Skytech Creations Limited,0x0D9C
"Boxyz, Inc.",0x0D9B
"Yeasound (Xiamen) Hearing Technology Co., Ltd",0x0D9A
Caire Inc.,0x0D99
E.F. Johnson Company,0x0D98
"Zhejiang Huanfu Technology Co., LTD",0x0D97
NEOKOHM SISTEMAS ELETRONICOS LTDA,0x0D96
Hunter Industries Incorporated,0x0D95
HagerEnergy GmbH,0x0D93
TACHIKAWA CORPORATION,0x0D92
Beamex Oy Ab,0x0D91
LAAS ApS,0x0D90
Canon Electronics Inc.,0x0D8F
"Optivolt Labs, Inc.",0x0D8E
RF Electronics Limited,0x0D8D
Ultimea Technology (Shenzhen) Limited,0x0D8C
"Software Development, LLC",0x0D8B
Simply Embedded Inc.,0x0D8A
Nanohex Corp,0x0D89
"Quectel Wireless Solutions Co., Ltd.",0x0D87
"ROCKWELL AUTOMATION, INC.",0x0D86
SEW-EURODRIVE GmbH & Co KG,0x0D85
Testo SE & Co. KGaA,0x0D84
ATLANTIC SOCIETE FRANCAISE DE DEVELOPPEMENT THERMIQUE,0x0D83
VELCO,0x0D82
Beyerdynamic GmbH & Co. KG,0x0D81
Gravaa B.V.,0x0D80
Konova,0x0D7F
"Daihatsu Motor Co., Ltd.",0x0D7E
Taiko Audio B.V.,0x0D7D
"BeiJing SmartChip Microelectronics Technology Co.,Ltd",0x0D7C
MindMaze SA,0x0D7B
Xiamen Intretech Inc.,0x0D7A
"VIVIWARE JAPAN, Inc.",0x0D79
"MITACHI CO.,LTD.",0x0D78
DualNetworks SA,0x0D77
"i-focus Co.,Ltd",0x0D76
"Indistinguishable From Magic, Inc.",0x0D75
ANUME s.r.o.,0x0D74
"iota Biosciences, Inc.",0x0D73
Earfun Technology (HK) Limited,0x0D72
Kiteras Inc.,0x0D71
Kindhome,0x0D70
Closed Joint Stock Company NVP BOLID,0x0D6F
Look Cycle International,0x0D6E
DYNAMOX S/A,0x0D6D
Ambient IoT Pty Ltd,0x0D6C
"Crane Payment Innovations, Inc.",0x0D6B
Helge Kaiser GmbH,0x0D6A
AIR AROMA INTERNATIONAL PTY LTD,0x0D69
Status Audio LLC,0x0D68
BLACK BOX NETWORK SERVICES INDIA PRIVATE LIMITED,0x0D67
"Hendrickson USA , L.L.C",0x0D66
Molnlycke Health Care AB,0x0D65
Southco,0x0D64
SKF France,0x0D63
MEBSTER s.r.o.,0x0D62
F.I.P. FORMATURA INIEZIONE POLIMERI - S.P.A.,0x0D61
"Smart Products Connection, S.A.",0x0D60
"SiChuan Homme Intelligent Technology co.,Ltd.",0x0D5F
Pella Corp,0x0D5E
Stogger B.V.,0x0D5D
Axis Communications AB,0x0D5B
Gunnebo Aktiebolag,0x0D5A
"HYUPSUNG MACHINERY ELECTRIC CO., LTD.",0x0D59
ifm electronic gmbh,0x0D58
"Nanjing Xinxiangyuan Microelectronics Co., Ltd.",0x0D57
"Wellang.Co,.Ltd",0x0D56
NO CLIMB PRODUCTS LTD,0x0D55
ISEKI FRANCE S.A.S,0x0D54
Luxottica Group S.p.A,0x0D53
"DIVAN TRADING CO., LTD.",0x0D52
Genetus inc.,0x0D51
"NINGBO FOTILE KITCHENWARE CO., LTD.",0x0D50
Movano Inc.,0x0D4F
NIKAT SOLUTIONS PRIVATE LIMITED,0x0D4E
"Optec, LLC",0x0D4D
"Soundwave Hearing, LLC",0x0D4B
"Rockpile Solutions, LLC",0x0D4A
"Refrigerated Transport Electronics, Inc.",0x0D49
Vemcon GmbH,0x0D48
"Shenzhen DOKE Electronic Co., Ltd",0x0D47
Thales Simulation & Training AG,0x0D46
"Odeon, Inc.",0x0D45
Ex Makhina Inc.,0x0D44
"Gosuncn Technology Group Co., Ltd.",0x0D43
TEKTRO TECHNOLOGY CORPORATION,0x0D42
CPAC Systems AB,0x0D41
"SignalFire Telemetry, Inc.",0x0D40
Vogels Products B.V.,0x0D3F
"LUMINOAH, INC.",0x0D3E
bHaptics Inc.,0x0D3D
SIRONA Dental Systems GmbH,0x0D3C
Lone Star Marine Pty Ltd,0x0D3B
"Frost Solutions, LLC",0x0D3A
"Systemic Games, LLC",0x0D39
CycLock,0x0D38
Zerene Inc.,0x0D37
"XIHAO INTELLIGENGT TECHNOLOGY CO., LTD",0x0D36
Universidad Politecnica de Madrid,0x0D35
ZILLIOT TECHNOLOGIES PRIVATE LIMITED,0x0D34
Micropower Group AB,0x0D33
Badger Meter,0x0D32
"SYNCHRON, INC.",0x0D31
"Laxmi Therapeutic Devices, Inc.",0x0D30
"Delta Development Team, Inc",0x0D2F
"Advanced Electronic Applications, Inc",0x0D2E
"Cooler Pro, LLC",0x0D2D
SIL System Integration Laboratory GmbH,0x0D2C
Sensoryx AG,0x0D2B
"PhysioLogic Devices, Inc.",0x0D2A
MIYAKAWA ELECTRIC WORKS LTD.,0x0D29
FUJITSU COMPONENT LIMITED,0x0D28
velocitux,0x0D27
Burkert Werke GmbH & Co. KG,0x0D26
System Elite Holdings Group Limited,0x0D25
Japan Display Inc.,0x0D24
"GREE Electric Appliances, Inc. of Zhuhai",0x0D23
"Cedarware, Corp.",0x0D22
Cennox Group Limited,0x0D21
SCIENTERRA LIMITED,0x0D20
"Synkopi, Inc.",0x0D1F
FESTINA LOTUS SA,0x0D1E
Electronics4All Inc.,0x0D1D
LIMBOID LLC,0x0D1C
"RACHIO, INC.",0x0D1B
Maturix ApS,0x0D1A
C.G. Air Systemes Inc.,0x0D19
Bioliberty Ltd,0x0D18
Akix S.r.l.,0x0D17
Nations Technologies Inc.,0x0D16
Spark,0x0D15
Merry Electronics (S) Pte Ltd,0x0D14
"MERRY ELECTRONICS CO., LTD.",0x0D13
Spartek Systems Inc.,0x0D12
JVC KENWOOD Corporation,0x0D10
Timebirds Australia Pty Ltd,0x0D0F
"PetVoice Co., Ltd.",0x0D0E
C.Ed. Schulte GmbH Zylinderschlossfabrik,0x0D0D
Planmeca Oy,0x0D0C
Research Products Corporation,0x0D0B
"CATEYE Co., Ltd.",0x0D0A
Leica Geosystems AG,0x0D09
"Datalogic USA, Inc.",0x0D08
Datalogic S.r.l.,0x0D07
"doubleO Co., Ltd.",0x0D06
Energy Technology and Control Limited,0x0D05
Bartec Auto Id Ltd,0x0D04
MakuSafe Corp,0x0D03
Rocky Mountain ATV/MC Jake Wilson,0x0D02
KEEPEN,0x0D01
Ergodriven Inc,0x0CFF
Thule Group AB,0x0CFE
ElectronX design,0x0CFC
Tyromotion GmbH,0x0CFB
Protect Animals With Satellites LLC,0x0CFA
Tamblue Oy,0x0CF9
core sensing GmbH,0x0CF8
TVS Motor Company Ltd.,0x0CF7
OJ Electronics A/S,0x0CF6
BOS Balance of Storage Systems AG,0x0CF5
SOLUX PTY LTD,0x0CF4
Radio Sound,0x0CF3
Midmark,0x0CF1
THOTAKA TEKHNOLOGIES INDIA PRIVATE LIMITED,0x0CF0
POGS B.V.,0x0CEF
"MadgeTech, Inc",0x0CEE
CV. NURI TEKNIK,0x0CED
Pacific Coast Fishery Services (2003) Inc.,0x0CEC
Shenzhen Tingting Technology Co. LTD,0x0CEB
"HAYWARD INDUSTRIES, INC.",0x0CEA
"PEAG, LLC dba JLab Audio",0x0CE9
"Dongguan Yougo Electronics Co.,Ltd.",0x0CE8
TAG HEUER SA,0x0CE7
"McWong International, Inc.",0x0CE6
Amina Distribution AS,0x0CE5
Off-Highway Powertrain Services Germany GmbH,0x0CE4
Taiwan Fuhsing,0x0CE3
"CORVENT MEDICAL, INC.",0x0CE2
"Regal Beloit America, Inc.",0x0CE1
VODALOGIC PTY LTD,0x0CE0
"SHENZHEN CHENYUN ELECTRONICS  CO., LTD",0x0CDF
"Alif Semiconductor, Inc.",0x0CDD
Ypsomed AG,0x0CDC
Circus World Displays Limited,0x0CDB
Wolf Steel ltd,0x0CDA
Minami acoustics Limited,0x0CD9
SIA Mesh Group,0x0CD8
"Maztech Industries, LLC",0x0CD7
"HHO (Hangzhou) Digital Technology Co., Ltd.",0x0CD6
"Numa Products, LLC",0x0CD5
"Reoqoo IoT Technology Co., Ltd.",0x0CD4
TechSwipe,0x0CD3
EQOM SSC B.V.,0x0CD2
Imagine Marketing Limited,0x0CD1
"MooreSilicon Semiconductor Technology (Shanghai) Co., LTD.",0x0CD0
"Shenzhen CESI Information Technology Co., Ltd.",0x0CCF
SENOSPACE LLC,0x0CCE
"YanFeng Visteon(Chongqing) Automotive Electronic Co.,Ltd",0x0CCD
Kord Defence Pty Ltd,0x0CCC
NOTHING TECHNOLOGY LIMITED,0x0CCB
Cyclops Marine Ltd,0x0CCA
"Innocent Technology Co., Ltd.",0x0CC9
TrikThom,0x0CC8
SB C&S Corp.,0x0CC7
Serial Technology Corporation,0x0CC6
"Open Road Solutions, Inc.",0x0CC5
ABUS August Bremicker Soehne Kommanditgesellschaft,0x0CC4
HMD Global Oy,0x0CC3
Anker Innovations Limited,0x0CC2
CLEIO Inc.,0x0CC1
Garnet Instruments Ltd.,0x0CC0
Forward Thinking Systems LLC.,0x0CBF
Pricer AB,0x0CBD
TROX GmbH,0x0CBC
Emlid Tech Kft.,0x0CBB
Ameso Tech (OPC) Private Limited,0x0CBA
seca GmbH & Co. KG,0x0CB9
Cucumber Lighting Controls Limited,0x0CB7
THE EELECTRIC MACARON LLC,0x0CB6
"Racketry, d. o. o.",0x0CB5
Eberspaecher Climate Control Systems GmbH,0x0CB4
janova GmbH,0x0CB3
"SHINKAWA Sensor Technology, Inc.",0x0CB2
RF Creations,0x0CB1
"SwipeSense, Inc.",0x0CB0
NEURINNOV,0x0CAF
Evident Corporation,0x0CAE
"Shenzhen Openhearing Tech CO., LTD .",0x0CAD
"Shenzhen Shokz Co.,Ltd.",0x0CAC
HERUTU ELECTRONICS CORPORATION,0x0CAB
"Shenzhen Poseidon Network Technology Co., Ltd",0x0CAA
Mievo Technologies Private Limited,0x0CA9
"Sonas, Inc.",0x0CA8
Verve InfoTec Pty Ltd,0x0CA7
Megger Ltd,0x0CA6
"Princess Cruise Lines, Ltd.",0x0CA5
"MITSUBISHI ELECTRIC LIGHTING CO, LTD",0x0CA4
MAQUET GmbH,0x0CA3
XSENSE LTD,0x0CA2
"YAMAHA MOTOR CO.,LTD.",0x0CA1
BIGBEN,0x0CA0
Dragonfly Energy Corp.,0x0C9F
ECCEL CORPORATION SAS,0x0C9E
"Ribbiot, INC.",0x0C9D
Sunstone-RTLS Ipari Szolgaltato Korlatolt Felelossegu Tarsasag,0x0C9C
"NTT sonority, Inc.",0x0C9B
ALF Inc.,0x0C9A
Vire Health Oy,0x0C99
Deako,0x0C97
H+B Hightech GmbH,0x0C96
Gemstone Lights Canada Ltd.,0x0C95
Baxter Healthcare Corporation,0x0C94
Movesense Oy,0x0C93
KessebÃ¶hmer Ergonomietechnik GmbH,0x0C92
Yashu Systems,0x0C91
WESCO AG,0x0C90
"Radar Automobile Sales(Shandong)Co.,Ltd.",0x0C8F
Technocon Engineering Ltd.,0x0C8E
tonies GmbH,0x0C8D
T-Mobile USA,0x0C8C
Heavys Inc,0x0C8B
"A.GLOBAL co.,Ltd.",0x0C8A
"AGZZX OPTOELECTRONICS TECHNOLOGY CO., LTD",0x0C89
Nextivity Inc.,0x0C88
Weltek Technologies Company Limited,0x0C87
"Qingdao Eastsoft Communication Technology Co.,Ltd",0x0C86
"Amlogic, Inc.",0x0C85
"MAXON INDUSTRIES, INC.",0x0C84
Watchdog Systems LLC,0x0C83
NACON,0x0C82
Carrier Corporation,0x0C81
"CARDIOID - TECHNOLOGIES, LDA",0x0C80
"Rochester Sensors, LLC",0x0C7F
"3ALogics, Inc.",0x0C7D
Mopeka Products LLC,0x0C7C
PT SADAMAYA GRAHA TEKNOLOGI,0x0C7B
"Triductor Technology (Suzhou), Inc.",0x0C7A
"Zhuhai Smartlink Technology Co., Ltd",0x0C79
CHARGTRON IOT PRIVATE LIMITED,0x0C78
TEAC Corporation,0x0C77
Embedded Engineering Solutions LLC,0x0C75
yupiteru,0x0C74
Truma GerÃ¤tetechnik GmbH & Co. KG,0x0C73
"StreetCar ORV, LLC",0x0C72
BitGreen Technolabz (OPC) Private Limited,0x0C71
SCARAB SOLUTIONS LTD,0x0C70
Parakey AB,0x0C6F
Sensa LLC,0x0C6E
Fidure Corp.,0x0C6D
SNIFF LOGIC LTD,0x0C6C
GILSON SAS,0x0C6B
CONSORCIO TRUST CONTROL - NETTEL,0x0C6A
BLITZ electric motors. LTD,0x0C69
Emerja Corporation,0x0C68
TRACKTING S.R.L.,0x0C67
"WAKO CO,.LTD",0x0C65
dormakaba Holding AG,0x0C64
phg Peter Hengstler GmbH + Co. KG,0x0C63
Phiaton Corporation,0x0C62
"NNOXX, Inc",0x0C61
KEBA Energy Automation GmbH,0x0C60
"Wuxi Linkpower Microelectronics Co.,Ltd",0x0C5F
BlueID GmbH,0x0C5E
StepUp Solutions ApS,0x0C5D
MGM WIRELESSS HOLDINGS PTY LTD,0x0C5C
Alban Giacomo S.P.A.,0x0C5B
Lockswitch Sdn Bhd,0x0C5A
CYBERDYNE Inc.,0x0C59
Hykso Inc.,0x0C58
UNEEG medical A/S,0x0C57
"Rheem Sales Company, Inc.",0x0C56
Zintouch B.V.,0x0C55
"HiViz Lighting, Inc.",0x0C54
"Taco, Inc.",0x0C53
ESCEA LIMITED,0x0C52
INNOVA S.R.L.,0x0C51
Imostar Technologies Inc.,0x0C50
SharkNinja Operating LLC,0x0C4F
"Tactile Engineering, Inc.",0x0C4E
"Seekwave Technology Co.,ltd.",0x0C4D
Orpyx Medical Technologies Inc.,0x0C4C
"ADTRAN, Inc.",0x0C4B
atSpiro ApS,0x0C4A
twopounds gmbh,0x0C49
VALEO MANAGEMENT SERVICES,0x0C48
"Epsilon Electronics,lnc",0x0C47
"Brose Verwaltung SE, Bamberg",0x0C45
ONCELABS LLC,0x0C44
Berlinger & Co. AG,0x0C43
Heath Consultants Inc.,0x0C42
Control Solutions LLC,0x0C41
"HORIBA, Ltd.",0x0C40
"Stinger Equipment, Inc.",0x0C3F
BELLDESIGN Inc.,0x0C3E
Wrmth Corp.,0x0C3D
Classified Cycling,0x0C3C
ORB Innovations Ltd,0x0C3B
TIGER CORPORATION,0x0C39
Noritz Corporation.,0x0C38
"SignalQuest, LLC",0x0C37
Thermokon-Sensortechnik GmbH,0x0C35
BYD Company Limited,0x0C34
Exeger Operations AB,0x0C33
"Xian Yisuobao Electronic Technology Co., Ltd.",0x0C32
KINDOO LLP,0x0C31
McIntosh Group Inc,0x0C30
"BEEHERO, INC.",0x0C2F
Easee AS,0x0C2E
"OTF Product Sourcing, LLC",0x0C2D
"Zeku Technology (Shanghai) Corp., Ltd.",0x0C2C
GigaDevice Semiconductor Inc.,0x0C2B
Caresix Inc.,0x0C2A
DENSO AIRCOOL CORPORATION,0x0C29
Embecta Corp.,0x0C28
Pal Electronics,0x0C27
"Performance Electronics, Ltd.",0x0C26
JURA Elektroapparate AG,0x0C25
SMARTD TECHNOLOGIES INC.,0x0C24
"KEYTEC,Inc.",0x0C23
Glamo Inc.,0x0C22
"Foshan Viomi Electrical Technology Co., Ltd",0x0C21
COMELIT GROUP S.P.A.,0x0C20
LVI Co.,0x0C1F
"EC sense co., Ltd",0x0C1E
"OFF Line Japan Co., Ltd.",0x0C1D
GEMU,0x0C1C
"Rockchip Electronics Co., Ltd.",0x0C1B
Catapult Group International Ltd,0x0C1A
"Arlo Technologies, Inc.",0x0C19
CORROHM,0x0C18
SomnoMed Limited,0x0C17
TYKEE PTY. LTD.,0x0C16
Geva Sol B.V.,0x0C15
"Fasetto, Inc.",0x0C14
Scandinavian Health Limited,0x0C13
IoSA,0x0C12
Gordon Murray Design Limited,0x0C11
Cosmed s.r.l.,0x0C10
AETERLINK,0x0C0F
"ALEX DENKO CO.,LTD.",0x0C0E
Mereltron bv,0x0C0D
"Mendeltron, Inc.",0x0C0C
aconno GmbH,0x0C0B
"Automated Pet Care Products, LLC",0x0C0A
Senic Inc.,0x0C09
"limited liability company ""Red""",0x0C08
"CONSTRUKTS, INC.",0x0C07
LED Smart Inc.,0x0C06
"Montage Connect, Inc.",0x0C05
"Happy Health, Inc.",0x0C04
Puff Corp,0x0C03
"Loomanet, Inc.",0x0C02
NEOWRK SISTEMAS INTELIGENTES S.A.,0x0C01
MQA Limited,0x0C00
Ratio Electric BV,0x0BFF
Media-Cartec GmbH,0x0BFE
EsmÃ© Solutions,0x0BFD
T+A elektroakustik GmbH & Co.KG,0x0BFC
"Dodam Enersys Co., Ltd",0x0BFB
CleanBands Systems Ltd.,0x0BFA
Innovacionnye Resheniya,0x0BF8
Wacker Neuson SE,0x0BF7
greenTEG AG,0x0BF6
"T5 tek, Inc.",0x0BF5
PONE BIOMETRICS AS,0x0BF3
"Angel Medical Systems, Inc.",0x0BF2
Site IQ LLC,0x0BF1
"KIDO SPORTS CO., LTD.",0x0BF0
Safetytest GmbH,0x0BEF
"LINKSYS USA, INC.",0x0BEE
CORAL-TAIYI Co. Ltd.,0x0BED
"Luna Health, Inc.",0x0BEB
"Twenty Five Seven, prodaja in storitve, d.o.o.",0x0BEA
"Shindengen Electric Manufacturing Co., Ltd.",0x0BE9
Sensormate AG,0x0BE8
"Fresnel Technologies, Inc.",0x0BE7
Puratap Pty Ltd,0x0BE6
ZWILLING J.A. Henckels Aktiengesellschaft,0x0BE5
Deepfield Connect GmbH,0x0BE4
Comtel Systems Ltd.,0x0BE3
OTC engineering,0x0BE2
Koizumi Lighting Technology corp.,0x0BE0
WINKEY ENTERPRISE (HONG KONG) LIMITED,0x0BDF
Yale,0x0BDE
Coroflo Limited,0x0BDD
TWINKLY SRL,0x0BDC
"CHAR-BROIL, LLC",0x0BDB
Aardex Ltd.,0x0BDA
"PURA SCENTS, INC.",0x0BD8
"Shenzhen Injoinic Technology Co., Ltd.",0x0BD6
Super B Lithium Power B.V.,0x0BD5
ndd Medizintechnik AG,0x0BD4
"Procon Analytics, LLC",0x0BD3
IDEC,0x0BD2
"Hubei Yuan Times Technology Co., Ltd.",0x0BD1
Durag GmbH,0x0BD0
LL Tec Group LLC,0x0BCF
"Neurosity, Inc.",0x0BCE
Amiko srl,0x0BCD
Sylvac sa,0x0BCC
Divesoft s.r.o.,0x0BCB
"Perimeter Technologies, Inc.",0x0BCA
Neuvatek Inc.,0x0BC9
"OTF Distribution, LLC",0x0BC8
Signtle Inc.,0x0BC7
"TCL COMMUNICATION EQUIPMENT CO.,LTD.",0x0BC6
"Aperia Technologies, Inc.",0x0BC5
TECHTICS ENGINEERING B.V.,0x0BC4
MCOT INC.,0x0BC3
EntWick Co.,0x0BC2
Miele & Cie. KG,0x0BC1
READY FOR SKY LLP,0x0BC0
HIMSA II K/S,0x0BBF
SAAB Aktiebolag,0x0BBE
T2REALITY SOLUTIONS PRIVATE LIMITED,0x0BBC
SWISSINNO SOLUTIONS AG,0x0BBB
"Huso, INC",0x0BBA
SaluStim Group Oy,0x0BB9
INNOVAG PTY. LTD.,0x0BB8
IONA Tech LLC,0x0BB7
Build With Robots Inc.,0x0BB6
"Xirgo Technologies, LLC",0x0BB5
"New Cosmos USA, Inc.",0x0BB4
Flender GmbH,0x0BB3
Fjorden Electra AS,0x0BB2
"Beijing ranxin intelligence technology Co.,LTD",0x0BB1
Ecolab Inc.,0x0BB0
NITTO KOGYO CORPORATION,0x0BAF
Soma Labs LLC,0x0BAE
"Roambotics, Inc.",0x0BAD
Machfu Inc.,0x0BAC
Grandex International Corporation,0x0BAB
"Infinitegra, Inc.",0x0BAA
Allterco Robotics ltd,0x0BA9
GLOWFORGE INC.,0x0BA8
hearX Group (Pty) Ltd,0x0BA7
"Nissan Motor Co., Ltd.",0x0BA6
"SONICOS ENTERPRISES, LLC",0x0BA5
Vervent Audio Group,0x0BA4
Sonova Consumer Hearing GmbH,0x0BA3
TireCheck GmbH,0x0BA2
Bunn-O-Matic Corporation,0x0BA1
Data Sciences International,0x0BA0
Group Lotus Limited,0x0B9F
Audio Partnership Plc,0x0B9E
Sensoria Holdings LTD,0x0B9D
Komatsu Ltd.,0x0B9C
"Beijing Wisepool Infinite Intelligence Technology Co.,Ltd",0x0B9A
The Goodyear Tire & Rubber Company,0x0B99
Gymstory B.V.,0x0B98
"SILVER TREE LABS, INC.",0x0B97
Telecom Design,0x0B96
Dreem SAS,0x0B94
"Hangzhou BroadLink Technology Co., Ltd.",0x0B93
Alfen ICU B.V.,0x0B91
"Senscomm Semiconductor Co., Ltd.",0x0B8F
Gentle Energy Corp.,0x0B8E
Pertech Industries Inc,0x0B8D
MOTREX,0x0B8C
"American Technology Components, Incorporated",0x0B8B
Seiko Instruments Inc.,0x0B8A
Rotronic AG,0x0B89
"Muguang (Guangdong) Intelligent Lighting Technology Co., Ltd",0x0B88
Ampetronic Ltd,0x0B87
Trek Bicycle,0x0B86
VIMANA TECH PTY LTD,0x0B85
"Presidio Medical, Inc.",0x0B84
Taiga Motors Inc.,0x0B83
Mammut Sports Group AG,0x0B82
SCM Group,0x0B81
AXELIFE,0x0B80
ICU tech GmbH,0x0B7F
Offcode Oy,0x0B7E
FoundersLane GmbH,0x0B7D
Scangrip A/S,0x0B7C
Hardcoder Oy,0x0B7B
"Shenzhen KTC Technology Co.,Ltd.",0x0B7A
"Sankyo Air Tech Co.,Ltd.",0x0B79
FIELD DESIGN INC.,0x0B78
"Aixlink(Chengdu) Co., Ltd.",0x0B77
"MAX-co., ltd",0x0B76
Triple W Japan Inc.,0x0B75
BQN,0x0B74
"HARADA INDUSTRY CO., LTD.",0x0B73
"Geeknet, Inc.",0x0B72
lilbit ODM AS,0x0B71
JDRF Electromag Engineering Inc,0x0B70
React Mobile,0x0B6E
"SOLUM CO., LTD",0x0B6D
"Sensitech, Inc.",0x0B6C
"Samsara Networks, Inc",0x0B6B
Dymo,0x0B6A
Addaday,0x0B69
Quha oy,0x0B68
CleanSpace Technology Pty Ltd,0x0B67
MITSUBISHI ELECTRIC AUTOMATION (THAILAND) COMPANY LIMITED,0x0B66
The Apache Software Foundation,0x0B65
"NingBo klite Electric Manufacture Co.,LTD",0x0B64
Innolux Corporation,0x0B63
NOVEA ENERGIES,0x0B62
Sentek Pty Ltd,0x0B61
"RATOC Systems, Inc.",0x0B60
"Rivieh, Inc.",0x0B5F
"CELLCONTROL, INC.",0x0B5E
"Fujian Newland Auto-ID Tech. Co., Ltd.",0x0B5D
Shenzhen ImagineVision Technology Limited,0x0B5B
TOKAI-DENSHI INC,0x0B58
CONVERTRONIX TECHNOLOGIES AND SERVICES LLP,0x0B57
BORA - Vertriebs GmbH & Co KG,0x0B56
"H G M Automotive Electronics, Inc.",0x0B55
Emotion Fitness GmbH & Co. KG,0x0B54
"SHENZHEN KAADAS INTELLIGENT TECHNOLOGY CO.,Ltd",0x0B53
ZIIP Inc,0x0B52
FUN FACTORY GmbH,0x0B51
Mesh Systems LLC,0x0B50
"Breezi.io, Inc.",0x0B4F
ICP Systems B.V.,0x0B4E
Adam Hall GmbH,0x0B4D
BiosBob.Biz,0x0B4C
"EMS Integrators, LLC",0x0B4B
Nomono AS,0x0B4A
SkyHawke Technologies,0x0B49
"NIO USA, Inc.",0x0B48
Gentex Corporation,0x0B47
"Electronic Sensors, Inc.",0x0B45
"nFore Technology Co., Ltd.",0x0B44
INCITAT ENVIRONNEMENT,0x0B43
TSI,0x0B42
Sentrax GmbH,0x0B41
Havells India Limited,0x0B40
"MindRhythm, Inc.",0x0B3F
ISEO Serrature S.p.a.,0x0B3E
REALTIMEID AS,0x0B3D
"Dodge Industrial, Inc.",0x0B3C
"AIC semiconductor (Shanghai) Co., Ltd.",0x0B3B
"Impact Biosystems, Inc.",0x0B3A
"Red 100 Lighting Co., ltd.",0x0B39
WISYCOM S.R.L.,0x0B38
Omnivoltaic Energy Solutions Limited Company,0x0B37
SINTEF,0x0B36
BH SENS,0x0B35
CONZUMEX INDUSTRIES PRIVATE LIMITED,0x0B34
ARMATURA LLC,0x0B33
"Hala Systems, Inc.",0x0B32
Silver Wolf Vehicles Inc.,0x0B31
ART SPA,0x0B30
Duke Manufacturing Co,0x0B2F
MOCA System Inc.,0x0B2E
REDARC ELECTRONICS PTY LTD,0x0B2D
"ILLUMAGEAR, Inc.",0x0B2C
MAINBOT,0x0B2B
Tech-Venom Entertainment Private Limited,0x0B29
"Lumi United Technology Co., Ltd",0x0B27
Baracoda Daily Healthtech.,0x0B26
NIBROTECH LTD,0x0B25
"BeiJing ZiJie TiaoDong KeJi Co.,Ltd.",0x0B24
"iRhythm Technologies, Inc.",0x0B23
"Hygiene IQ, LLC.",0x0B22
TKH Security B.V.,0x0B20
"Beijing ESWIN Computing Technology Co., Ltd.",0x0B1F
PB INC.,0x0B1E
